Individus,Cas SNIF,IICR,Taille,M,Echantillon,Omega,n_inf,M_inf,N0_inf
301,61,21,1x4,10,12,0.3,,,
302,61,21,1x4,10,12,0.3,,,
303,61,21,1x4,10,12,0.3,,,
304,61,21,1x4,10,12,0.3,,,
305,61,21,1x4,10,12,0.3,,,
306,62,21,1x4,10,12,0.5,,,
307,62,21,1x4,10,12,0.5,,,
308,62,21,1x4,10,12,0.5,,,
309,62,21,1x4,10,12,0.5,,,
310,62,21,1x4,10,12,0.5,,,
311,63,21,1x4,10,12,1,,,
312,63,21,1x4,10,12,1,,,
313,63,21,1x4,10,12,1,,,
314,63,21,1x4,10,12,1,,,
315,63,21,1x4,10,12,1,,,
316,64,22,1x4,50,11,0.3,,,
317,64,22,1x4,50,11,0.3,,,
318,64,22,1x4,50,11,0.3,,,
319,64,22,1x4,50,11,0.3,,,
320,64,22,1x4,50,11,0.3,,,
321,65,22,1x4,50,11,0.5,,,
322,65,22,1x4,50,11,0.5,,,
323,65,22,1x4,50,11,0.5,,,
324,65,22,1x4,50,11,0.5,,,
325,65,22,1x4,50,11,0.5,,,
326,66,22,1x4,50,11,1,,,
327,66,22,1x4,50,11,1,,,
328,66,22,1x4,50,11,1,,,
329,66,22,1x4,50,11,1,,,
330,66,22,1x4,50,11,1,,,
331,67,23,1x4,50,12,0.3,,,
332,67,23,1x4,50,12,0.3,,,
333,67,23,1x4,50,12,0.3,,,
334,67,23,1x4,50,12,0.3,,,
335,67,23,1x4,50,12,0.3,,,
336,68,23,1x4,50,12,0.5,,,
337,68,23,1x4,50,12,0.5,,,
338,68,23,1x4,50,12,0.5,,,
339,68,23,1x4,50,12,0.5,,,
340,68,23,1x4,50,12,0.5,,,
341,69,23,1x4,50,12,1,,,
342,69,23,1x4,50,12,1,,,
343,69,23,1x4,50,12,1,,,
344,69,23,1x4,50,12,1,,,
345,69,23,1x4,50,12,1,,,
346,70,24,1x4,100,11,0.3,,,
347,70,24,1x4,100,11,0.3,,,
348,70,24,1x4,100,11,0.3,,,
349,70,24,1x4,100,11,0.3,,,
350,70,24,1x4,100,11,0.3,,,
351,71,24,1x4,100,11,0.5,,,
352,71,24,1x4,100,11,0.5,,,
353,71,24,1x4,100,11,0.5,,,
354,71,24,1x4,100,11,0.5,,,
355,71,24,1x4,100,11,0.5,,,
356,72,24,1x4,100,11,1,,,
357,72,24,1x4,100,11,1,,,
358,72,24,1x4,100,11,1,,,
359,72,24,1x4,100,11,1,,,
360,72,24,1x4,100,11,1,,,
361,73,25,1x4,100,12,0.3,,,
362,73,25,1x4,100,12,0.3,,,
363,73,25,1x4,100,12,0.3,,,
364,73,25,1x4,100,12,0.3,,,
365,73,25,1x4,100,12,0.3,,,
366,74,25,1x4,100,12,0.5,,,
367,74,25,1x4,100,12,0.5,,,
368,74,25,1x4,100,12,0.5,,,
369,74,25,1x4,100,12,0.5,,,
370,74,25,1x4,100,12,0.5,,,
371,75,25,1x4,100,12,1,,,
372,75,25,1x4,100,12,1,,,
373,75,25,1x4,100,12,1,,,
374,75,25,1x4,100,12,1,,,
375,75,25,1x4,100,12,1,,,
376,76,26,1x5,1,11,0.3,,,
377,76,26,1x5,1,11,0.3,,,
378,76,26,1x5,1,11,0.3,,,
379,76,26,1x5,1,11,0.3,,,
380,76,26,1x5,1,11,0.3,,,
381,77,26,1x5,1,11,0.5,,,
